N,T,trial,iterations,fitness,time,fevals
20,8,0,0,9.0,0.000126264000002,138,0
20,8,0,10,9.0,0.000220229,259,0
20,8,0,20,10.0,0.000303477999999,374,1
20,8,0,30,9.0,0.000384634999996,495,0
20,8,0,40,9.0,0.000468120999997,617,1
20,8,0,50,10.0,0.000547718999997,735,2
20,8,0,60,9.0,0.000624786999992,849,3
20,8,0,70,9.0,0.000705617999991,971,4
20,8,0,80,10.0,0.000786740999992,1088,5
20,8,0,90,13.0,0.000870202999991,1210,6
20,8,0,100,13.0,0.00095358099999,1331,0
20,8,0,110,14.0,0.00103769399999,1451,1
20,8,0,120,15.0,0.00111844099999,1566,0
20,8,0,130,14.0,0.00120123299998,1680,0
20,8,0,140,14.0,0.00128126699998,1795,1
20,8,0,150,15.0,0.00137490899998,1915,2
20,8,0,160,14.0,0.00145645599997,2037,3
20,8,0,170,15.0,0.00153606499997,2155,4
20,8,0,180,15.0,0.00161559899998,2275,5
20,8,0,190,15.0,0.00169463899998,2395,6
20,8,0,200,15.0,0.00177144499997,2512,7
20,8,0,210,15.0,0.00184934199998,2630,8
20,8,0,220,15.0,0.00192937399998,2753,9
20,8,0,230,15.0,0.00200851199998,2875,10
20,8,0,240,15.0,0.00208836299998,2999,11
20,8,0,250,15.0,0.00216738799998,3119,12
20,8,0,260,14.0,0.00225009399998,3237,13
20,8,0,270,15.0,0.00232861899999,3355,14
20,8,0,280,14.0,0.00240709799999,3469,15
20,8,0,290,15.0,0.00248482399999,3582,16
20,8,0,300,14.0,0.00256291999999,3698,17
20,8,0,310,14.0,0.00264207099999,3815,18
20,8,0,320,15.0,0.00272420399999,3930,19
20,8,0,330,15.0,0.00280219399999,4045,20
20,8,0,340,16.0,0.00288282699999,4167,21
20,8,0,350,16.0,0.00296199699999,4284,0
20,8,0,360,16.0,0.00304124299999,4401,1
20,8,0,370,16.0,0.0031194,4518,2
20,8,0,380,16.0,0.00319723099999,4634,3
20,8,0,390,19.0,0.003278061,4755,4
20,8,0,400,19.0,0.00335948799999,4867,0
20,8,0,410,17.0,0.003452374,4986,1
20,8,0,420,18.0,0.003537813,5105,2
20,8,0,430,17.0,0.003619773,5221,3
20,8,0,440,17.0,0.003703921,5340,4
20,8,0,450,19.0,0.003777959,5457,5
20,8,0,460,19.0,0.00385403599999,5578,6
20,8,0,470,19.0,0.003941363,5700,7
20,8,0,480,19.0,0.004021786,5814,8
20,8,0,490,19.0,0.00410380599999,5928,9
20,8,0,500,19.0,0.00418186099999,6047,10
20,8,0,510,19.0,0.004257657,6167,11
20,8,0,520,19.0,0.004336449,6285,12
20,8,0,530,19.0,0.004411646,6403,13
20,8,0,540,19.0,0.004492714,6524,14
20,8,0,550,19.0,0.004587499,6641,15
20,8,0,560,19.0,0.00466809,6758,16
20,8,0,570,19.0,0.004748167,6872,17
20,8,0,580,19.0,0.00482925,6992,18
20,8,0,590,19.0,0.004907122,7109,19
20,8,0,600,19.0,0.004994002,7223,20
20,8,0,610,19.0,0.005076486,7347,21
20,8,0,620,19.0,0.00515565800001,7463,22
20,8,0,630,19.0,0.00523523500001,7587,23
20,8,0,640,19.0,0.00531435600001,7706,24
20,8,0,650,19.0,0.00539665000002,7825,25
20,8,0,660,19.0,0.00547721600001,7943,26
20,8,0,670,19.0,0.00555763700001,8061,27
20,8,0,680,19.0,0.00563658700001,8177,28
20,8,0,690,19.0,0.00571715100001,8295,29
20,8,0,700,19.0,0.00579758800001,8413,30
20,8,0,710,19.0,0.00588510300001,8537,31
20,8,0,720,19.0,0.00596675900001,8656,32
20,8,0,730,18.0,0.00604561800001,8776,33
20,8,0,740,18.0,0.00612299100001,8893,34
20,8,0,750,18.0,0.00620129900001,9011,35
20,8,0,760,18.0,0.00628340700001,9132,36
20,8,0,770,18.0,0.00636446200001,9246,37
20,8,0,780,18.0,0.00644472800001,9364,38
20,8,0,790,18.0,0.00652264800001,9486,39
20,8,0,800,18.0,0.00659911600002,9602,40
20,8,0,810,18.0,0.00669444600002,9714,41
20,8,0,820,18.0,0.00679904700002,9831,42
20,8,0,830,18.0,0.00688351500003,9950,43
20,8,0,840,18.0,0.00696458200003,10068,44
20,8,0,850,18.0,0.00704375900003,10186,45
20,8,0,860,19.0,0.00712303500003,10301,46
20,8,0,870,19.0,0.00720401400002,10420,47
20,8,0,880,19.0,0.00728294800003,10538,48
20,8,0,890,18.0,0.00736040400002,10656,49
20,8,0,900,18.0,0.00744117400002,10773,50
20,8,0,910,18.0,0.00753112200002,10891,51
20,8,0,920,18.0,0.00761203200002,11006,52
20,8,0,930,18.0,0.00768537900002,11127,53
20,8,0,940,18.0,0.00776110800003,11243,54
20,8,0,950,18.0,0.00781673000002,11362,55
20,8,0,960,18.0,0.00787176000002,11478,56
20,8,0,970,18.0,0.00792671800002,11592,57
20,8,0,980,18.0,0.00798225200002,11712,58
20,8,0,990,18.0,0.00804599100002,11835,59
20,8,0,1000,18.0,0.00813659000002,11954,60
20,8,0,1010,18.0,0.00822285400002,12071,61
20,8,0,1020,18.0,0.00830465300002,12191,62
20,8,0,1030,18.0,0.00838810800003,12310,63
20,8,0,1040,18.0,0.00846891200003,12426,64
20,8,0,1050,18.0,0.00855148400003,12541,65
20,8,0,1060,17.0,0.00863510700003,12662,66
20,8,0,1070,17.0,0.00871420500003,12781,67
20,8,0,1080,17.0,0.00878940100003,12902,68
20,8,0,1090,17.0,0.00884858000003,13024,69
20,8,0,1100,17.0,0.00891813200003,13140,70
20,8,0,1110,17.0,0.00899228500003,13265,71
20,8,0,1120,18.0,0.00905059700003,13387,72
20,8,0,1130,17.0,0.00911095400004,13506,73
20,8,0,1140,18.0,0.00916990800004,13623,74
20,8,0,1150,17.0,0.00923239300004,13743,75
20,8,0,1160,17.0,0.00930396500004,13857,76
20,8,0,1170,18.0,0.00936427500004,13979,77
20,8,0,1180,17.0,0.00942597100004,14101,78
20,8,0,1190,17.0,0.00949258200004,14224,79
20,8,0,1200,17.0,0.00955375500003,14343,80
20,8,0,1210,19.0,0.00960874700004,14459,81
20,8,0,1220,19.0,0.00966754600003,14581,82
20,8,0,1230,19.0,0.00972611000003,14698,83
20,8,0,1240,19.0,0.00978602300003,14819,84
20,8,0,1250,19.0,0.00987002400003,14939,85
20,8,0,1260,19.0,0.00995652400003,15058,86
20,8,0,1270,19.0,0.010050313,15173,87
20,8,0,1280,18.0,0.010131195,15289,88
20,8,0,1290,19.0,0.010210799,15409,89
20,8,0,1300,18.0,0.010289643,15527,90
20,8,0,1310,19.0,0.01036918,15645,91
20,8,0,1320,19.0,0.010447661,15766,92
20,8,0,1330,19.0,0.01052592,15881,93
20,8,0,1340,17.0,0.010604918,15999,94
20,8,0,1350,17.0,0.010677569,16116,95
20,8,0,1360,17.0,0.01073359,16232,96
20,8,0,1370,17.0,0.010788325,16349,97
20,8,0,1380,17.0,0.010848609,16465,98
20,8,0,1390,18.0,0.010904642,16588,99
20,8,0,1390,19.0,0.010904642,16588,optimal
20,8,1,0,18.0,7.20959999967e-05,142,0
20,8,1,10,18.0,0.000131933999995,261,0
20,8,1,20,18.0,0.000190048,376,1
20,8,1,30,19.0,0.000259154999995,494,2
20,8,1,40,18.0,0.000337455999997,612,0
20,8,1,50,18.0,0.000415818999997,731,1
20,8,1,60,18.0,0.000494101000001,853,2
20,8,1,70,19.0,0.000573492000001,968,3
20,8,1,80,19.0,0.000653131,1083,4
20,8,1,90,19.0,0.000744213000004,1200,5
20,8,1,100,16.0,0.000824933000004,1320,6
20,8,1,110,16.0,0.000903173000005,1439,7
20,8,1,120,16.0,0.000981505000006,1556,8
20,8,1,130,16.0,0.00105924900001,1672,9
20,8,1,140,16.0,0.00113868300001,1789,10
20,8,1,150,16.0,0.001216967,1904,11
20,8,1,160,16.0,0.00129529500001,2017,12
20,8,1,170,19.0,0.00137512600001,2133,13
20,8,1,180,16.0,0.00145597600001,2252,14
20,8,1,190,16.0,0.00156228600001,2368,15
20,8,1,200,16.0,0.00163115800001,2488,16
20,8,1,210,17.0,0.00169004500001,2614,17
20,8,1,220,16.0,0.00176326800001,2731,18
20,8,1,230,16.0,0.00183853000001,2851,19
20,8,1,240,16.0,0.00191597400001,2969,20
20,8,1,250,16.0,0.00199082800001,3088,21
20,8,1,260,16.0,0.00207578300002,3205,22
20,8,1,270,17.0,0.00216340600002,3325,23
20,8,1,280,17.0,0.00225765200003,3446,24
20,8,1,290,17.0,0.00231784400003,3561,25
20,8,1,300,17.0,0.00238272400002,3685,26
20,8,1,310,17.0,0.00247824000002,3802,27
20,8,1,320,17.0,0.00256993000002,3918,28
20,8,1,330,17.0,0.00268175100002,4038,29
20,8,1,340,17.0,0.00274397900002,4153,30
20,8,1,350,16.0,0.00283753800002,4270,31
20,8,1,360,16.0,0.00289890800002,4387,32
20,8,1,370,16.0,0.00295804000002,4500,33
20,8,1,380,16.0,0.00301783700002,4615,34
20,8,1,390,16.0,0.00310415400002,4738,35
20,8,1,400,16.0,0.00317207700002,4853,36
20,8,1,410,17.0,0.00323709300002,4969,37
20,8,1,420,17.0,0.00330024600002,5085,38
20,8,1,430,17.0,0.00335750600002,5197,39
20,8,1,440,17.0,0.00341301400002,5312,40
20,8,1,450,17.0,0.00346838700002,5427,41
20,8,1,460,17.0,0.00354897800002,5545,42
20,8,1,470,17.0,0.00363009400002,5662,43
20,8,1,480,18.0,0.00370699500002,5776,44
20,8,1,490,17.0,0.00378401200002,5899,45
20,8,1,500,18.0,0.00386898200001,6016,46
20,8,1,510,17.0,0.00392736900002,6135,47
20,8,1,520,18.0,0.00398417500002,6258,48
20,8,1,530,18.0,0.00405433700002,6381,49
20,8,1,540,18.0,0.00411620600002,6501,50
20,8,1,550,18.0,0.00417644600002,6621,51
20,8,1,560,18.0,0.00423448200002,6736,52
20,8,1,570,18.0,0.00430834200002,6857,53
20,8,1,580,18.0,0.00436919700002,6973,54
20,8,1,590,15.0,0.00444547000003,7098,55
20,8,1,600,14.0,0.00450254800003,7217,56
20,8,1,610,15.0,0.00455773800002,7335,57
20,8,1,620,15.0,0.00462008100002,7455,58
20,8,1,630,14.0,0.00467719700001,7576,59
20,8,1,640,14.0,0.00475481800001,7697,60
20,8,1,650,14.0,0.00483422000001,7814,61
20,8,1,660,15.0,0.00491949000001,7933,62
20,8,1,670,15.0,0.004989397,8048,63
20,8,1,680,15.0,0.005052967,8167,64
20,8,1,690,17.0,0.005113224,8288,65
20,8,1,700,19.0,0.005174723,8409,66
20,8,1,710,19.0,0.00523496700001,8531,67
20,8,1,720,19.0,0.00534595400001,8652,68
20,8,1,730,19.0,0.00549369500001,8774,69
20,8,1,740,19.0,0.00555916900001,8889,70
20,8,1,750,19.0,0.00562703300001,9011,71
20,8,1,760,19.0,0.00572026600001,9132,72
20,8,1,770,18.0,0.00579956000001,9253,73
20,8,1,780,18.0,0.00587786000001,9372,74
20,8,1,790,18.0,0.00595556100001,9492,75
20,8,1,800,19.0,0.00603417300001,9612,76
20,8,1,810,18.0,0.00611082300001,9728,77
20,8,1,820,18.0,0.00618894700001,9849,78
20,8,1,830,17.0,0.006267261,9970,79
20,8,1,840,18.0,0.00634515800001,10089,80
20,8,1,850,18.0,0.00642349200001,10209,81
20,8,1,860,18.0,0.00650186200001,10327,82
20,8,1,870,17.0,0.00658590700002,10452,83
20,8,1,880,18.0,0.00666409600002,10573,84
20,8,1,890,18.0,0.00674077600002,10689,85
20,8,1,900,18.0,0.00681930900002,10807,86
20,8,1,910,18.0,0.00688457000002,10928,87
20,8,1,920,18.0,0.00694521100002,11043,88
20,8,1,930,18.0,0.00700475800001,11159,89
20,8,1,940,18.0,0.00706314500001,11277,90
20,8,1,950,17.0,0.00712032200001,11392,91
20,8,1,960,18.0,0.00717708200001,11506,92
20,8,1,970,19.0,0.00723638700001,11629,93
20,8,1,980,18.0,0.00730614100002,11744,94
20,8,1,990,19.0,0.00736305600002,11859,95
20,8,1,1000,18.0,0.00741881400001,11977,96
20,8,1,1010,19.0,0.00747492900001,12094,97
20,8,1,1020,17.0,0.00752969900001,12209,98
20,8,1,1030,17.0,0.00758499600001,12332,99
20,8,1,1030,19.0,0.00758499600001,12332,optimal
20,8,2,0,10.0,7.83580000032e-05,138,0
20,8,2,10,13.0,0.00014576200001,259,0
20,8,2,20,13.0,0.000207912000015,375,0
