N,T,trial,iterations,fitness,time,fevals
20,8,0,0,10.0,0.00313782099965,200,0
20,8,0,10,12.0,0.00603480599966,420,0
20,8,0,20,11.0,0.00819595499979,640,0
20,8,0,30,16.0,0.00998359299956,860,1
20,8,0,40,9.0,0.0118632639997,1080,0
20,8,0,50,8.0,0.0137437839994,1300,1
20,8,0,60,9.0,0.015609393,1520,2
20,8,0,70,11.0,0.0174935970008,1740,3
20,8,0,80,11.0,0.0193354440007,1960,4
20,8,0,90,11.0,0.0212287210006,2180,5
20,8,0,100,10.0,0.0229716470012,2400,6
20,8,0,110,11.0,0.0247527250012,2620,7
20,8,0,120,11.0,0.0266027900016,2840,8
20,8,0,130,16.0,0.0285393920012,3060,9
20,8,0,140,14.0,0.0308240870017,3280,10
20,8,0,150,14.0,0.0329119140015,3500,11
20,8,0,160,13.0,0.0348944340012,3720,12
20,8,0,170,11.0,0.0368424450007,3940,13
20,8,0,180,9.0,0.0386724340005,4160,14
20,8,0,190,14.0,0.0405260370007,4380,15
20,8,0,200,16.0,0.0423505720009,4600,16
20,8,0,210,10.0,0.0447307060012,4820,17
20,8,0,220,11.0,0.0477463750012,5040,18
20,8,0,230,11.0,0.0504912810011,5260,19
20,8,0,240,10.0,0.053138913001,5480,20
20,8,0,250,10.0,0.0549628780009,5700,21
20,8,0,260,10.0,0.0568566270013,5920,22
20,8,0,270,14.0,0.058718661001,6140,23
20,8,0,280,15.0,0.0605004050012,6360,24
20,8,0,290,13.0,0.0622864170009,6580,25
20,8,0,300,15.0,0.0642064470003,6800,26
20,8,0,310,14.0,0.0660346880004,7020,27
20,8,0,320,14.0,0.0678591450005,7240,28
20,8,0,330,18.0,0.0696846190003,7460,29
20,8,0,340,12.0,0.0715395590005,7680,0
20,8,0,350,12.0,0.0734046940006,7900,1
20,8,0,360,15.0,0.0751596420005,8120,2
20,8,0,370,12.0,0.0770308150004,8340,3
20,8,0,380,11.0,0.0795722250004,8560,4
20,8,0,390,10.0,0.0815275670011,8780,5
20,8,0,400,13.0,0.0833298070011,9000,6
20,8,0,410,13.0,0.085069187001,9220,7
20,8,0,420,8.0,0.0868474120016,9440,8
20,8,0,430,11.0,0.0887358180016,9660,9
20,8,0,440,8.0,0.0910005090018,9880,10
20,8,0,450,8.0,0.0940490860021,10100,11
20,8,0,460,14.0,0.0958669260017,10320,12
20,8,0,470,14.0,0.097790062001,10540,13
20,8,0,480,14.0,0.100342505,10760,14
20,8,0,490,17.0,0.102564386,10980,15
20,8,0,500,18.0,0.105455833001,11200,16
20,8,0,510,14.0,0.107451205001,11420,17
20,8,0,520,15.0,0.109163228001,11640,18
20,8,0,530,18.0,0.110959079001,11860,19
20,8,0,540,14.0,0.112711522002,12080,20
20,8,0,550,14.0,0.114561797001,12300,21
20,8,0,560,13.0,0.116424975002,12520,22
20,8,0,570,12.0,0.118577617002,12740,23
20,8,0,580,15.0,0.120569866002,12960,24
20,8,0,590,17.0,0.123082770002,13180,25
20,8,0,600,14.0,0.125689034002,13400,26
20,8,0,610,13.0,0.128292750001,13620,27
20,8,0,620,12.0,0.130994356001,13840,28
20,8,0,630,11.0,0.133234937,14060,29
20,8,0,640,10.0,0.135049703001,14280,30
20,8,0,650,10.0,0.137804138001,14500,31
20,8,0,660,11.0,0.140667355001,14720,32
20,8,0,670,11.0,0.142496641001,14940,33
20,8,0,680,12.0,0.144370444001,15160,34
20,8,0,690,13.0,0.146167865001,15380,35
20,8,0,700,10.0,0.147973102002,15600,36
20,8,0,710,15.0,0.149794936002,15820,37
