N,T,trial,iterations,fitness,time,fevals
20,8,0,0,5.0,0.000368797,11,0
20,8,0,10,5.0,0.000560046,21,0
20,8,0,20,5.0,0.000758611,31,1
20,8,0,30,6.0,0.000963073,41,2
20,8,0,40,7.0,0.001131456,51,0
20,8,0,50,7.0,0.001362253,61,0
20,8,0,60,8.0,0.001546858,71,1
20,8,0,70,8.0,0.001703742,81,0
20,8,0,80,8.0,0.001818619,91,1
20,8,0,90,8.0,0.001984907,101,2
20,8,0,100,8.0,0.00216089,111,3
20,8,0,110,8.0,0.002339555,121,4
20,8,0,120,9.0,0.002545426,131,5
20,8,0,130,11.0,0.002674782,141,0
20,8,0,140,11.0,0.002764803,151,0
20,8,0,150,11.0,0.003412478,161,1
20,8,0,160,11.0,0.003605973,171,2
20,8,0,170,11.0,0.003720007,181,3
20,8,0,180,11.0,0.003817791,191,4
20,8,0,190,12.0,0.003933724,201,5
20,8,0,200,12.0,0.004021548,211,0
20,8,0,210,15.0,0.004148277,221,1
20,8,0,220,18.0,0.004309956,231,0
20,8,0,230,18.0,0.004382971,241,0
20,8,0,240,18.0,0.004462831,251,1
20,8,0,250,18.0,0.004543925,261,2
20,8,0,260,18.0,0.004626778,271,3
20,8,0,270,18.0,0.00587896,281,4
20,8,0,280,18.0,0.005949139,291,5
20,8,0,290,18.0,0.006001895,301,6
20,8,0,300,18.0,0.00607154,311,7
20,8,0,310,18.0,0.006150405,321,8
20,8,0,320,18.0,0.006220425,331,9
20,8,0,330,18.0,0.006293161,341,10
20,8,0,340,18.0,0.006358529,351,11
20,8,0,350,18.0,0.006442807,361,12
20,8,0,360,18.0,0.006521315,371,13
20,8,0,370,18.0,0.006604628,381,14
20,8,0,380,18.0,0.006859655,391,15
20,8,0,390,18.0,0.006968328,401,16
20,8,0,400,18.0,0.007045232,411,17
20,8,0,410,18.0,0.0071013,421,18
20,8,0,420,18.0,0.007161493,431,19
20,8,0,430,18.0,0.007220084,441,20
20,8,0,440,18.0,0.007286646,451,21
20,8,0,450,18.0,0.007349469,461,22
20,8,0,460,18.0,0.007409738,471,23
20,8,0,470,18.0,0.007468912,481,24
20,8,0,480,18.0,0.007522964,491,25
20,8,0,490,18.0,0.007600912,501,26
20,8,0,500,18.0,0.007664209,511,27
20,8,0,510,18.0,0.007758958,521,28
20,8,0,520,18.0,0.007824492,531,29
20,8,0,530,18.0,0.007954078,541,30
20,8,0,540,18.0,0.008017912,551,31
20,8,0,550,18.0,0.008087209,561,32
20,8,0,560,18.0,0.008156968,571,33
20,8,0,570,18.0,0.008222663,581,34
20,8,0,580,18.0,0.008291161,591,35
20,8,0,590,18.0,0.008396708,601,36
20,8,0,600,18.0,0.008494579,611,37
20,8,0,610,18.0,0.008568934,621,38
20,8,0,620,18.0,0.008622873,631,39
20,8,0,630,18.0,0.008708413,641,40
20,8,0,640,18.0,0.008778103,651,41
20,8,0,650,18.0,0.008827489,661,42
20,8,0,660,18.0,0.008885034,671,43
20,8,0,670,18.0,0.008973926,681,44
20,8,0,680,18.0,0.009042646,691,45
20,8,0,690,18.0,0.009106834,701,46
20,8,0,700,18.0,0.009172245,711,47
20,8,0,710,18.0,0.009231002,721,48
20,8,0,720,18.0,0.009326881,731,49
20,8,0,730,18.0,0.00942643,741,50
20,8,0,740,18.0,0.009490939,751,51
20,8,0,750,18.0,0.009561817,761,52
20,8,0,760,18.0,0.009633486,771,53
20,8,0,770,18.0,0.009709026,781,54
20,8,0,780,18.0,0.009759968,791,55
20,8,0,790,18.0,0.009813813,801,56
20,8,0,800,18.0,0.00985671,811,57
20,8,0,810,18.0,0.009934901,821,58
20,8,0,820,18.0,0.009991474,831,59
20,8,0,830,18.0,0.010048096,841,60
20,8,0,840,18.0,0.010093203,851,61
20,8,0,850,18.0,0.010145146,861,62
20,8,0,860,18.0,0.010196384,871,63
20,8,0,870,18.0,0.010249028,881,64
20,8,0,880,18.0,0.010303447,891,65
20,8,0,890,18.0,0.010353002,901,66
20,8,0,900,18.0,0.010395888,911,67
20,8,0,910,18.0,0.010443287,921,68
20,8,0,920,18.0,0.010504164,931,69
20,8,0,930,18.0,0.010592484,941,70
20,8,0,940,18.0,0.01066679,951,71
20,8,0,950,18.0,0.010710701,961,72
20,8,0,960,18.0,0.01076564,971,73
20,8,0,970,18.0,0.010805018,981,74
20,8,0,980,18.0,0.010838466,991,75
20,8,0,990,18.0,0.010887092,1001,76
20,8,0,1000,18.0,0.010933278,1011,77
20,8,0,1010,18.0,0.010975626,1021,78
20,8,0,1020,18.0,0.011112127,1031,79
20,8,0,1030,18.0,0.011165803,1041,80
20,8,0,1040,18.0,0.01124636,1051,81
20,8,0,1050,18.0,0.011290004,1061,82
20,8,0,1060,18.0,0.011319867,1071,83
20,8,0,1070,18.0,0.011374516,1081,84
20,8,0,1080,18.0,0.011404926,1091,85
20,8,0,1090,18.0,0.011443744,1101,86
20,8,0,1100,18.0,0.011478615,1111,87
20,8,0,1110,18.0,0.011507025,1121,88
20,8,0,1120,18.0,0.011529473,1131,89
20,8,0,1130,18.0,0.011555773,1141,90
20,8,0,1140,18.0,0.011630869,1151,91
20,8,0,1150,18.0,0.011693532,1161,92
20,8,0,1160,18.0,0.011729937,1171,93
20,8,0,1170,18.0,0.011791211,1181,94
20,8,0,1180,18.0,0.011824859,1191,95
20,8,0,1190,18.0,0.011869047,1201,96
20,8,0,1200,18.0,0.011904825,1211,97
20,8,0,1210,18.0,0.011938275,1221,98
20,8,0,1220,18.0,0.011959689,1231,99
20,8,0,1220,18.0,0.011959689,1231,optimal
20,8,1,0,6.0,5.5087e-05,11,0
20,8,1,10,7.0,0.000100247,21,0
20,8,1,20,7.0,0.000141247,31,0
20,8,1,30,7.0,0.000185144,41,1
20,8,1,40,7.0,0.000255796,51,2
20,8,1,50,8.0,0.000301858,61,3
20,8,1,60,10.0,0.000458154,71,0
20,8,1,70,11.0,0.000550252,81,0
20,8,1,80,12.0,0.000614404,91,0
20,8,1,90,16.0,0.000667555,101,0
20,8,1,100,17.0,0.000718489,111,0
20,8,1,110,17.0,0.000765905,121,0
20,8,1,120,17.0,0.000822706,131,1
20,8,1,130,17.0,0.000884409,141,2
20,8,1,140,17.0,0.000937941,151,3
20,8,1,150,17.0,0.000995393,161,4
20,8,1,160,17.0,0.00104274,171,5
20,8,1,170,17.0,0.001096942,181,6
20,8,1,180,17.0,0.001158404,191,7
20,8,1,190,17.0,0.001205547,201,8
20,8,1,200,17.0,0.00129718,211,9
20,8,1,210,17.0,0.001352747,221,10
20,8,1,220,17.0,0.001398363,231,11
20,8,1,230,17.0,0.001448696,241,12
20,8,1,240,17.0,0.001497171,251,13
20,8,1,250,17.0,0.001548379,261,14
20,8,1,260,17.0,0.001618419,271,15
20,8,1,270,17.0,0.001665659,281,16
20,8,1,280,17.0,0.001717025,291,17
20,8,1,290,17.0,0.001761195,301,18
20,8,1,300,17.0,0.00182716,311,19
20,8,1,310,17.0,0.00187562,321,20
20,8,1,320,17.0,0.001964577,331,21
