N,T,trial,iterations,fitness,time,fevals
20,8,0,0,5.0,9.02000000025e-06,11,0
20,8,0,10,5.0,1.70720000021e-05,21,0
20,8,0,20,8.0,2.40849999997e-05,31,1
20,8,0,30,8.0,3.10279999987e-05,41,0
20,8,0,40,7.0,3.76399999986e-05,51,1
20,8,0,50,5.0,4.45189999994e-05,61,2
20,8,0,60,9.0,5.15060000019e-05,71,3
20,8,0,70,7.0,5.78850000004e-05,81,0
20,8,0,80,6.0,6.46480000022e-05,91,1
20,8,0,90,6.0,7.12430000043e-05,101,2
20,8,0,100,5.0,7.8391000006e-05,111,3
20,8,0,110,5.0,8.40940000053e-05,121,4
20,8,0,120,5.0,9.10240000032e-05,131,5
20,8,0,130,7.0,9.6757000005e-05,141,6
20,8,0,140,7.0,0.000106830000007,151,7
20,8,0,150,5.0,0.000113867000007,161,8
20,8,0,160,5.0,0.000120728000006,171,9
20,8,0,170,5.0,0.000127408000008,181,10
20,8,0,180,5.0,0.000134509000009,191,11
20,8,0,190,8.0,0.000139872000009,201,12
20,8,0,200,8.0,0.000146600000008,211,13
20,8,0,210,4.0,0.000153804000007,221,14
20,8,0,220,7.0,0.000160935000007,231,15
20,8,0,230,6.0,0.000167855000008,241,16
20,8,0,240,6.0,0.000175342000009,251,17
20,8,0,250,6.0,0.000183186000012,261,18
20,8,0,260,5.0,0.00018995000001,271,19
20,8,0,270,4.0,0.00019721000001,281,20
20,8,0,280,6.0,0.00020381800001,291,21
20,8,0,290,7.0,0.00021125100001,301,22
20,8,0,300,5.0,0.000218813000011,311,23
20,8,0,310,5.0,0.000226288000011,321,24
20,8,0,320,7.0,0.000234116000012,331,25
20,8,0,330,9.0,0.000242474000014,341,26
20,8,0,340,6.0,0.000250854000015,351,27
20,8,0,350,8.0,0.000258350000014,361,28
20,8,0,360,6.0,0.000266134000015,371,29
20,8,0,370,5.0,0.000273445000015,381,30
20,8,0,380,5.0,0.000280698000015,391,31
20,8,0,390,4.0,0.000289219000017,401,32
20,8,0,400,5.0,0.000297599000017,411,33
20,8,0,410,5.0,0.000305846000018,421,34
20,8,0,420,4.0,0.000314115000016,431,35
20,8,0,430,6.0,0.000322280000017,441,36
20,8,0,440,6.0,0.000330153000014,451,37
20,8,0,450,6.0,0.000337750000014,461,38
20,8,0,460,6.0,0.000345975000013,471,39
20,8,0,470,7.0,0.000353360000013,481,40
20,8,0,480,12.0,0.000361678000012,491,41
20,8,0,490,12.0,0.000369136000014,501,0
20,8,0,500,12.0,0.000376944000013,511,1
20,8,0,510,13.0,0.000384640000014,521,2
20,8,0,520,13.0,0.000392259000016,531,0
20,8,0,530,13.0,0.000399312000017,541,1
20,8,0,540,13.0,0.000407436000017,551,2
20,8,0,550,14.0,0.000412739000019,561,3
20,8,0,560,14.0,0.000418005000022,571,0
20,8,0,570,14.0,0.000423454000021,581,1
20,8,0,580,14.0,0.000432432000022,591,2
20,8,0,590,18.0,0.00044061500002,601,3
20,8,0,600,18.0,0.00044787100002,611,0
20,8,0,610,18.0,0.000455912000021,621,1
20,8,0,620,18.0,0.000463170000021,631,2
20,8,0,630,18.0,0.000470613000019,641,3
20,8,0,640,18.0,0.000477987000018,651,4
20,8,0,650,18.0,0.000485950000019,661,5
20,8,0,660,19.0,0.000493419000019,671,6
20,8,0,670,19.0,0.000501477000018,681,0
20,8,0,680,19.0,0.000508305000018,691,1
20,8,0,690,19.0,0.000516071000018,701,2
20,8,0,700,19.0,0.00052408200002,711,3
20,8,0,710,19.0,0.000531882000022,721,4
20,8,0,720,19.0,0.000539814000021,731,5
20,8,0,730,19.0,0.000548191000021,741,6
20,8,0,740,19.0,0.000556652000022,751,7
20,8,0,750,19.0,0.000564316000023,761,8
20,8,0,760,19.0,0.000570951000025,771,9
20,8,0,770,19.0,0.000578555000022,781,10
20,8,0,780,19.0,0.000586164000023,791,11
20,8,0,790,19.0,0.000593454000022,801,12
20,8,0,800,19.0,0.000600954000021,811,13
20,8,0,810,19.0,0.00060798300002,821,14
20,8,0,820,19.0,0.000615358000019,831,15
20,8,0,830,19.0,0.000622911000018,841,16
20,8,0,840,19.0,0.000629849000017,851,17
20,8,0,850,19.0,0.000637080000018,861,18
20,8,0,860,19.0,0.000644173000019,871,19
20,8,0,870,19.0,0.00065006300002,881,20
20,8,0,880,19.0,0.00065688900002,891,21
20,8,0,890,19.0,0.00066165500002,901,22
20,8,0,900,19.0,0.000666709000019,911,23
20,8,0,910,19.0,0.000673364000018,921,24
20,8,0,920,19.0,0.000680952000021,931,25
20,8,0,930,19.0,0.000686213000019,941,26
20,8,0,940,19.0,0.000693072000018,951,27
20,8,0,950,19.0,0.000698514000018,961,28
20,8,0,960,19.0,0.000705051000018,971,29
20,8,0,970,19.0,0.000711656000018,981,30
20,8,0,980,19.0,0.000717833000017,991,31
20,8,0,990,19.0,0.000724742000017,1001,32
20,8,0,1000,19.0,0.000729650000018,1011,33
20,8,0,1010,19.0,0.000734254000019,1021,34
20,8,0,1020,19.0,0.000740385000018,1031,35
20,8,0,1030,19.0,0.00074508800002,1041,36
20,8,0,1040,19.0,0.000749453000019,1051,37
20,8,0,1050,19.0,0.000753796000019,1061,38
20,8,0,1060,19.0,0.000760409000019,1071,39
