N,trial,iterations,fitness,time,fevals
20,0,0,15.0,0.00146525599996,200,0
20,0,10,15.0,0.002867993,420,0
20,0,20,17.0,0.00401790499996,640,1
20,0,30,15.0,0.005243167,860,0
20,0,40,17.0,0.00643428000001,1080,1
20,0,50,17.0,0.00769481399993,1300,2
20,0,60,17.0,0.00891689499986,1520,3
20,0,70,17.0,0.0100987419999,1740,4
20,0,80,17.0,0.0112189249999,1960,5
20,0,90,17.0,0.0123011619999,2180,6
20,0,100,17.0,0.0133448019999,2400,7
20,0,110,17.0,0.0145353229999,2620,8
20,0,120,17.0,0.0157507149999,2840,9
20,0,130,17.0,0.0168982109999,3060,10
20,0,140,17.0,0.0180702359999,3280,11
20,0,150,17.0,0.0192451229998,3500,12
20,0,160,17.0,0.0203372949999,3720,13
20,0,170,17.0,0.0214045279998,3940,14
20,0,180,17.0,0.0226424899998,4160,15
20,0,190,17.0,0.0246749949998,4380,16
20,0,200,17.0,0.0258343099998,4600,17
20,0,210,17.0,0.0270006409997,4820,18
20,0,220,17.0,0.0281343669998,5040,19
20,0,230,17.0,0.0292028439998,5260,20
20,0,240,17.0,0.0302597249998,5480,21
20,0,250,17.0,0.0313399359998,5700,22
20,0,260,17.0,0.0325488539997,5920,23
20,0,270,15.0,0.0337508559996,6140,24
20,0,280,17.0,0.0350524319996,6360,25
20,0,290,17.0,0.0363473239996,6580,26
20,0,300,16.0,0.0376339669996,6800,27
20,0,310,16.0,0.0390817349996,7020,28
20,0,320,17.0,0.0402248739997,7240,29
20,0,330,17.0,0.0414007219997,7460,30
20,0,340,17.0,0.0425865789997,7680,31
20,0,350,17.0,0.0437691959996,7900,32
20,0,360,17.0,0.0449042959996,8120,33
20,0,370,17.0,0.0460343219995,8340,34
20,0,380,17.0,0.0471885179995,8560,35
20,0,390,17.0,0.0483363109995,8780,36
20,0,400,17.0,0.0495161969994,9000,37
20,0,410,18.0,0.0506498299994,9220,38
20,0,420,17.0,0.0519356029995,9440,0
20,0,430,17.0,0.0530191799995,9660,1
20,0,440,17.0,0.0542070759996,9880,2
20,0,450,17.0,0.0554763069995,10100,3
20,0,460,17.0,0.0566374019994,10320,4
20,0,470,17.0,0.0577803619994,10540,5
20,0,480,17.0,0.0589389589995,10760,6
20,0,490,17.0,0.0600406319995,10980,7
20,0,500,17.0,0.0613767619994,11200,8
20,0,510,17.0,0.0624606069995,11420,9
20,0,520,17.0,0.0636620299995,11640,10
20,0,530,17.0,0.0647717869995,11860,11
20,0,540,17.0,0.0658730829995,12080,12
20,0,550,17.0,0.0670156429995,12300,13
20,0,560,17.0,0.0681410949995,12520,14
20,0,570,17.0,0.0692371849996,12740,15
20,0,580,17.0,0.0703082999995,12960,16
20,0,590,17.0,0.0714121259995,13180,17
20,0,600,17.0,0.0725237569995,13400,18
20,0,610,17.0,0.0736242919995,13620,19
20,0,620,17.0,0.0748182109995,13840,20
20,0,630,17.0,0.0760465869996,14060,21
20,0,640,17.0,0.0773306349996,14280,22
20,0,650,19.0,0.0785926069997,14500,23
20,0,660,19.0,0.0798048179997,14720,0
20,0,670,17.0,0.0810222059997,14940,1
20,0,680,17.0,0.0822742499997,15160,2
20,0,690,17.0,0.0835137319997,15380,3
20,0,700,19.0,0.0847407929997,15600,4
20,0,710,17.0,0.0858996309997,15820,5
20,0,720,19.0,0.0872143709997,16040,6
20,0,730,17.0,0.0883937439997,16260,7
20,0,740,19.0,0.0895194789998,16480,8
20,0,750,17.0,0.0906802959998,16700,9
20,0,760,17.0,0.0918607959999,16920,10
20,0,770,16.0,0.0931152039999,17140,11
20,0,780,16.0,0.0942599499999,17360,12
20,0,790,16.0,0.0954437909999,17580,13
20,0,800,18.0,0.0966341859998,17800,14
20,0,810,16.0,0.0979104269999,18020,15
20,0,820,16.0,0.0990611889998,18240,16
20,0,830,16.0,0.100211635,18460,17
20,0,840,17.0,0.101372216,18680,18
20,0,850,19.0,0.102502627,18900,19
20,0,860,19.0,0.103584714,19120,20
20,0,870,19.0,0.104633611,19340,21
20,0,880,19.0,0.105691742,19560,22
20,0,890,19.0,0.106811772,19780,23
20,0,900,19.0,0.108201711,20000,24
20,0,910,19.0,0.109303038,20220,25
20,0,920,19.0,0.110350398,20440,26
20,0,930,19.0,0.111428351,20660,27
20,0,940,19.0,0.112477011,20880,28
20,0,950,19.0,0.11353034,21100,29
20,0,960,19.0,0.11458011,21320,30
20,0,970,19.0,0.115630802,21540,31
20,0,980,19.0,0.116765097,21760,32
20,0,990,19.0,0.117829341,21980,33
20,0,1000,19.0,0.118878766,22200,34
20,0,1010,19.0,0.120002315,22420,35
20,0,1020,19.0,0.12105168,22640,36
20,0,1030,19.0,0.122127597,22860,37
20,0,1040,19.0,0.123173298,23080,38
20,0,1050,19.0,0.12427424,23300,39
20,0,1060,17.0,0.125360066,23520,40
20,0,1070,19.0,0.131226764,23740,41
20,0,1080,17.0,0.133167086,23960,42
20,0,1090,17.0,0.135356646,24180,43
20,0,1100,17.0,0.137636132,24400,44
20,0,1110,17.0,0.139549577,24620,45
20,0,1120,17.0,0.140872211,24840,46
20,0,1130,15.0,0.14217205,25060,47
20,0,1140,17.0,0.143355581,25280,48
20,0,1150,17.0,0.14458657,25500,49
20,0,1160,17.0,0.145809487,25720,50
20,0,1170,17.0,0.146874751,25940,51
20,0,1180,17.0,0.147991486,26160,52
20,0,1190,17.0,0.149121086,26380,53
20,0,1200,17.0,0.150364222,26600,54
20,0,1210,17.0,0.151682967,26820,55
20,0,1220,17.0,0.152850769,27040,56
20,0,1230,17.0,0.154055916,27260,57
20,0,1240,17.0,0.155181988,27480,58
20,0,1250,17.0,0.156309883,27700,59
20,0,1260,17.0,0.157492355,27920,60
20,0,1270,17.0,0.158572741,28140,61
20,0,1280,17.0,0.159813328,28360,62
20,0,1290,16.0,0.161086622,28580,63
20,0,1300,16.0,0.162260792,28800,64
20,0,1310,16.0,0.163337144,29020,65
20,0,1320,17.0,0.164544661,29240,66
20,0,1330,18.0,0.165738636,29460,67
20,0,1340,16.0,0.166828305,29680,68
20,0,1350,16.0,0.167916727,29900,69
20,0,1360,16.0,0.168997998,30120,70
20,0,1370,18.0,0.170095458,30340,71
20,0,1380,18.0,0.171322731,30560,72
20,0,1390,16.0,0.17247043,30780,73
20,0,1400,16.0,0.173591085,31000,74
20,0,1410,16.0,0.174710446,31220,75
20,0,1420,17.0,0.175803999,31440,76
20,0,1430,17.0,0.176908609,31660,77
20,0,1440,16.0,0.178040973,31880,78
20,0,1450,16.0,0.179230043,32100,79
20,0,1460,17.0,0.180749215,32320,80
20,0,1470,18.0,0.181949197,32540,81
20,0,1480,18.0,0.183187749,32760,82
20,0,1490,19.0,0.184352769,32980,83
20,0,1500,19.0,0.185426988,33200,84
20,0,1510,19.0,0.186573529,33420,85
20,0,1520,18.0,0.187679182,33640,86
20,0,1530,19.0,0.188800674,33860,87
20,0,1540,18.0,0.189864001,34080,88
20,0,1550,18.0,0.190972587,34300,89
20,0,1560,18.0,0.192066245,34520,90
20,0,1570,18.0,0.193304067,34740,91
20,0,1580,18.0,0.19436915,34960,92
20,0,1590,18.0,0.195430443,35180,93
20,0,1600,19.0,0.196548381,35400,94
20,0,1610,18.0,0.197610835,35620,95
20,0,1620,18.0,0.19866812,35840,96
20,0,1630,18.0,0.199803085,36060,97
20,0,1640,18.0,0.200902454,36280,98
20,0,1650,18.0,0.201953818,36500,99
20,0,1650,19.0,0.201953818,36500,optimal
20,1,0,16.0,0.00135370700002,200,0
20,1,10,17.0,0.00260641700004,420,0
20,1,20,19.0,0.00371414200004,640,0
20,1,30,19.0,0.00486498500004,860,0
20,1,40,19.0,0.00613424799997,1080,1
20,1,50,19.0,0.00718375699989,1300,2
20,1,60,19.0,0.00824967299991,1520,3
20,1,70,19.0,0.00929301499991,1740,4
20,1,80,19.0,0.0103393629998,1960,5
20,1,90,19.0,0.0113854709999,2180,6
20,1,100,19.0,0.012454095,2400,7
20,1,110,19.0,0.013497689,2620,8
20,1,120,19.0,0.014541399,2840,9
20,1,130,19.0,0.015585181,3060,10
20,1,140,19.0,0.016667056,3280,11
20,1,150,19.0,0.017727678,3500,12
20,1,160,19.0,0.018842507,3720,13
20,1,170,19.0,0.0199060140001,3940,14
20,1,180,19.0,0.0209524420001,4160,15
20,1,190,19.0,0.0220003760002,4380,16
20,1,200,19.0,0.0230431300001,4600,17
20,1,210,19.0,0.0240867590002,4820,18
20,1,220,19.0,0.0251465000001,5040,19
20,1,230,19.0,0.0261935120001,5260,20
20,1,240,19.0,0.0283653170001,5480,21
20,1,250,19.0,0.029426513,5700,22
20,1,260,19.0,0.030472663,5920,23
20,1,270,19.0,0.0315161929999,6140,24
20,1,280,19.0,0.0325543819999,6360,25
20,1,290,19.0,0.033706834,6580,26
20,1,300,19.0,0.034754501,6800,27
20,1,310,19.0,0.0359259319999,7020,28
20,1,320,19.0,0.03700778,7240,29
20,1,330,19.0,0.0380535829999,7460,30
20,1,340,19.0,0.0391000709999,7680,31
20,1,350,19.0,0.0401613259999,7900,32
20,1,360,19.0,0.0412035889998,8120,33
20,1,370,19.0,0.0423019179998,8340,34
20,1,380,19.0,0.0433441549998,8560,35
20,1,390,19.0,0.0443875099998,8780,36
20,1,400,19.0,0.0454352969997,9000,37
20,1,410,19.0,0.0464816249997,9220,38
20,1,420,19.0,0.0475296789997,9440,39
20,1,430,19.0,0.0485846429997,9660,40
20,1,440,19.0,0.0498137539997,9880,41
20,1,450,19.0,0.0508668269998,10100,42
20,1,460,19.0,0.0519349199998,10320,43
20,1,470,19.0,0.0529875979997,10540,44
20,1,480,19.0,0.0540330779997,10760,45
20,1,490,19.0,0.0550814149998,10980,46
20,1,500,19.0,0.0561357489998,11200,47
20,1,510,19.0,0.0571708809998,11420,48
20,1,520,19.0,0.0582687279998,11640,49
20,1,530,19.0,0.0593517999998,11860,50
20,1,540,19.0,0.0603987399998,12080,51
20,1,550,19.0,0.0614603499997,12300,52
20,1,560,19.0,0.0625171509997,12520,53
20,1,570,19.0,0.0635629749997,12740,54
20,1,580,19.0,0.0646063359998,12960,55
20,1,590,19.0,0.0656433959997,13180,56
20,1,600,19.0,0.0666810969997,13400,57
20,1,610,19.0,0.0677162799997,13620,58
20,1,620,19.0,0.0687632729996,13840,59
20,1,630,19.0,0.0698231389996,14060,60
20,1,640,19.0,0.0708821019996,14280,61
20,1,650,19.0,0.0719197379996,14500,62
20,1,660,19.0,0.0729687249996,14720,63
20,1,670,19.0,0.0740226379995,14940,64
20,1,680,19.0,0.0750668929995,15160,65
20,1,690,19.0,0.0761776299995,15380,66
20,1,700,19.0,0.0772278189995,15600,67
20,1,710,19.0,0.0782798629996,15820,68
20,1,720,19.0,0.0793255299997,16040,69
20,1,730,19.0,0.0804986509997,16260,70
20,1,740,19.0,0.0815455059998,16480,71
20,1,750,19.0,0.0825919529997,16700,72
20,1,760,19.0,0.0836520899996,16920,73
20,1,770,19.0,0.0846983739996,17140,74
20,1,780,19.0,0.0857455629995,17360,75
20,1,790,19.0,0.0867939389994,17580,76
20,1,800,19.0,0.0878497309994,17800,77
20,1,810,19.0,0.0888957449994,18020,78
20,1,820,19.0,0.0899343939993,18240,79
20,1,830,19.0,0.0910022809993,18460,80
20,1,840,19.0,0.0920469289993,18680,81
20,1,850,19.0,0.0932582229992,18900,82
20,1,860,19.0,0.0945095449993,19120,83
20,1,870,17.0,0.0957182099992,19340,84
20,1,880,17.0,0.0968506099991,19560,85
20,1,890,17.0,0.0979573129991,19780,86
