N,trial,iterations,fitness,time,fevals
20,0,0,12.0,0.000161228,11,0
20,0,10,12.0,0.000287054,21,0
20,0,20,12.0,0.000381356,31,1
20,0,30,12.0,0.000508016,41,2
20,0,40,12.0,0.000586336,51,3
20,0,50,12.0,0.000685265,61,4
20,0,60,12.0,0.000808095,71,5
20,0,70,12.0,0.000904864,81,6
20,0,80,12.0,0.001035727,91,7
20,0,90,12.0,0.001144433,101,8
20,0,100,12.0,0.001271731,111,9
20,0,110,14.0,0.001405558,121,10
20,0,120,14.0,0.001496368,131,0
20,0,130,14.0,0.001566824,141,1
20,0,140,14.0,0.001614284,151,2
20,0,150,14.0,0.002596318,161,3
20,0,160,14.0,0.002673784,171,4
20,0,170,14.0,0.002781428,181,5
20,0,180,14.0,0.002866945,191,6
20,0,190,14.0,0.002985528,201,7
20,0,200,14.0,0.003047058,211,8
20,0,210,14.0,0.00309214,221,9
20,0,220,14.0,0.003136931,231,10
20,0,230,14.0,0.003175922,241,11
20,0,240,14.0,0.003211354,251,12
20,0,250,14.0,0.003278422,261,13
20,0,260,14.0,0.00331764,271,14
20,0,270,14.0,0.003353049,281,15
20,0,280,14.0,0.003423185,291,16
20,0,290,14.0,0.003492236,301,17
20,0,300,14.0,0.003550627,311,18
20,0,310,14.0,0.003603657,321,19
20,0,320,14.0,0.003645571,331,20
20,0,330,14.0,0.003685678,341,21
20,0,340,14.0,0.003756552,351,22
20,0,350,14.0,0.003830194,361,23
20,0,360,14.0,0.003902269,371,24
20,0,370,14.0,0.003975889,381,25
20,0,380,14.0,0.004082194,391,26
20,0,390,14.0,0.004157921,401,27
20,0,400,14.0,0.004237376,411,28
20,0,410,14.0,0.004285761,421,29
20,0,420,14.0,0.004312604,431,30
20,0,430,14.0,0.004339575,441,31
20,0,440,14.0,0.004370175,451,32
20,0,450,14.0,0.004401374,461,33
20,0,460,14.0,0.004427333,471,34
20,0,470,14.0,0.004457802,481,35
20,0,480,14.0,0.004486353,491,36
20,0,490,14.0,0.004514374,501,37
20,0,500,14.0,0.004539799,511,38
20,0,510,14.0,0.004582637,521,39
20,0,520,14.0,0.004611872,531,40
20,0,530,14.0,0.004650034,541,41
20,0,540,14.0,0.004679633,551,42
20,0,550,14.0,0.004724977,561,43
20,0,560,14.0,0.004772037,571,44
20,0,570,14.0,0.004798487,581,45
20,0,580,14.0,0.004827217,591,46
20,0,590,14.0,0.004857474,601,47
20,0,600,14.0,0.004895158,611,48
20,0,610,14.0,0.004920852,621,49
20,0,620,14.0,0.004949372,631,50
20,0,630,14.0,0.004986584,641,51
20,0,640,14.0,0.005023038,651,52
20,0,650,14.0,0.005051718,661,53
20,0,660,14.0,0.005079901,671,54
20,0,670,14.0,0.005129571,681,55
20,0,680,14.0,0.005161234,691,56
20,0,690,14.0,0.0051918,701,57
20,0,700,14.0,0.005221249,711,58
20,0,710,14.0,0.005256354,721,59
20,0,720,14.0,0.005292056,731,60
20,0,730,14.0,0.005336452,741,61
20,0,740,14.0,0.005365013,751,62
20,0,750,14.0,0.005395908,761,63
20,0,760,14.0,0.005419613,771,64
20,0,770,14.0,0.005448266,781,65
20,0,780,14.0,0.005476298,791,66
20,0,790,14.0,0.005506433,801,67
20,0,800,14.0,0.005532427,811,68
20,0,810,14.0,0.005561212,821,69
20,0,820,14.0,0.005585207,831,70
20,0,830,14.0,0.005608826,841,71
20,0,840,14.0,0.005652386,851,72
20,0,850,14.0,0.005720793,861,73
20,0,860,14.0,0.005748204,871,74
20,0,870,14.0,0.005774876,881,75
20,0,880,14.0,0.005806526,891,76
20,0,890,14.0,0.00585299,901,77
20,0,900,14.0,0.005944445,911,78
20,0,910,14.0,0.005990326,921,79
20,0,920,14.0,0.006023344,931,80
20,0,930,14.0,0.006055433,941,81
20,0,940,14.0,0.006082766,951,82
20,0,950,14.0,0.006109298,961,83
20,0,960,14.0,0.006135613,971,84
20,0,970,14.0,0.006158487,981,85
20,0,980,14.0,0.006181761,991,86
20,0,990,14.0,0.006208535,1001,87
20,0,1000,14.0,0.006240027,1011,88
20,0,1010,14.0,0.006322935,1021,89
20,0,1020,14.0,0.006373743,1031,90
20,0,1030,14.0,0.006406,1041,91
20,0,1040,14.0,0.00643031,1051,92
20,0,1050,14.0,0.006452919,1061,93
20,0,1060,14.0,0.00647939,1071,94
20,0,1070,14.0,0.006519157,1081,95
20,0,1080,14.0,0.006558718,1091,96
20,0,1090,14.0,0.006611294,1101,97
20,0,1100,14.0,0.006651706,1111,98
20,0,1110,14.0,0.006679911,1121,99
20,0,1110,14.0,0.006679911,1121,optimal
20,1,0,8.0,3.9061e-05,11,0
20,1,10,12.0,7.95e-05,21,0
20,1,20,12.0,0.000137425,31,0
20,1,30,12.0,0.000198417,41,1
20,1,40,12.0,0.000226549,51,2
20,1,50,14.0,0.000308666,61,3
20,1,60,14.0,0.000338855,71,0
20,1,70,14.0,0.000386742,81,1
20,1,80,14.0,0.000478504,91,2
20,1,90,14.0,0.000514106,101,3
20,1,100,14.0,0.000552366,111,4
20,1,110,14.0,0.000610594,121,5
20,1,120,14.0,0.000639047,131,6
20,1,130,14.0,0.000659006,141,7
20,1,140,14.0,0.00067935,151,8
20,1,150,14.0,0.00072311,161,9
20,1,160,14.0,0.000793134,171,10
20,1,170,14.0,0.000823583,181,11
20,1,180,14.0,0.00086452,191,12
20,1,190,14.0,0.000888975,201,13
20,1,200,14.0,0.000916782,211,14
20,1,210,14.0,0.000962694,221,15
20,1,220,14.0,0.00098556,231,16
20,1,230,14.0,0.001021434,241,17
20,1,240,14.0,0.001044575,251,18
20,1,250,14.0,0.001074312,261,19
20,1,260,14.0,0.001090803,271,20
20,1,270,14.0,0.001110056,281,21
20,1,280,14.0,0.001130147,291,22
20,1,290,14.0,0.001154873,301,23
20,1,300,14.0,0.001170896,311,24
20,1,310,14.0,0.001192109,321,25
20,1,320,14.0,0.001219439,331,26
