N,trial,iterations,fitness,time,fevals
20,0,0,8.0,4.22800000077e-06,11,0
20,0,10,8.0,7.76900000155e-06,21,0
20,0,20,6.0,1.12680000015e-05,31,1
20,0,30,6.0,1.45060000021e-05,41,2
20,0,40,8.0,1.74850000016e-05,51,3
20,0,50,11.0,2.09760000018e-05,61,4
20,0,60,14.0,2.40490000021e-05,71,0
20,0,70,9.0,2.7268000002e-05,81,0
20,0,80,8.0,3.06740000013e-05,91,1
20,0,90,12.0,3.38110000015e-05,101,2
20,0,100,7.0,3.69870000014e-05,111,3
20,0,110,8.0,4.03720000017e-05,121,4
20,0,120,10.0,4.55820000012e-05,131,5
20,0,130,8.0,4.9444000001e-05,141,6
20,0,140,10.0,5.54170000004e-05,151,7
20,0,150,11.0,5.92730000006e-05,161,8
20,0,160,5.0,6.53630000009e-05,171,9
20,0,170,9.0,6.89630000004e-05,181,10
20,0,180,6.0,7.24860000005e-05,191,11
20,0,190,8.0,7.58809999999e-05,201,12
20,0,200,12.0,7.9253e-05,211,13
20,0,210,12.0,8.24920000007e-05,221,14
20,0,220,10.0,8.83260000002e-05,231,15
20,0,230,10.0,9.2027e-05,241,16
20,0,240,8.0,9.80449999997e-05,251,17
20,0,250,9.0,0.000101319,261,18
20,0,260,9.0,0.000107525,271,19
20,0,270,7.0,0.000111018,281,20
20,0,280,9.0,0.000114699,291,21
20,0,290,12.0,0.000118051999999,301,22
20,0,300,13.0,0.00012377,311,23
20,0,310,9.0,0.000127159000001,321,24
20,0,320,9.0,0.000132964000001,331,25
20,0,330,8.0,0.000136360000002,341,26
20,0,340,7.0,0.000142022000002,351,27
20,0,350,10.0,0.000145693000002,361,28
20,0,360,9.0,0.000149406000002,371,29
20,0,370,10.0,0.000152969000002,381,30
20,0,380,12.0,0.000156217000002,391,31
20,0,390,7.0,0.000159728000002,401,32
20,0,400,9.0,0.000163349000001,411,33
20,0,410,9.0,0.000167007000002,421,34
20,0,420,8.0,0.000170500000002,431,35
20,0,430,8.0,0.000173890000002,441,36
20,0,440,11.0,0.000177033000002,451,37
20,0,450,12.0,0.000180587000002,461,38
20,0,460,12.0,0.000183848000002,471,39
20,0,470,14.0,0.000187210000001,481,40
20,0,480,14.0,0.000190681,491,41
20,0,490,14.0,0.000194356000001,501,42
20,0,500,15.0,0.000198001000001,511,43
20,0,510,15.0,0.000203826000001,521,0
20,0,520,16.0,0.000207188000001,531,1
20,0,530,16.0,0.000210571000001,541,0
20,0,540,16.0,0.000215832000001,551,1
20,0,550,16.0,0.000219059000001,561,2
20,0,560,16.0,0.000224182000001,571,3
20,0,570,16.0,0.000227725000001,581,4
20,0,580,16.0,0.000233514000001,591,5
20,0,590,16.0,0.000237031000001,601,6
20,0,600,18.0,0.000242752000001,611,7
20,0,610,18.0,0.000245955000001,621,0
20,0,620,18.0,0.000251709000001,631,1
20,0,630,18.0,0.000255101000001,641,2
20,0,640,18.0,0.000260703000001,651,3
20,0,650,18.0,0.000263871000001,661,4
20,0,660,18.0,0.000268282000001,671,5
20,0,670,18.0,0.000271534000001,681,6
20,0,680,18.0,0.000274689000001,691,7
20,0,690,18.0,0.000278340000001,701,8
20,0,700,18.0,0.000281977000001,711,9
20,0,710,18.0,0.000285328000001,721,10
20,0,720,18.0,0.000289622000001,731,11
20,0,730,18.0,0.000293716000002,741,12
20,0,740,18.0,0.000296918000002,751,13
20,0,750,18.0,0.000302315000003,761,14
20,0,760,18.0,0.000305995000002,771,15
20,0,770,18.0,0.000309455000003,781,16
20,0,780,18.0,0.000312786000003,791,17
20,0,790,18.0,0.000316305000003,801,18
20,0,800,18.0,0.000319651000003,811,19
20,0,810,18.0,0.000322817000003,821,20
20,0,820,18.0,0.000326165000003,831,21
20,0,830,18.0,0.000329396000003,841,22
20,0,840,18.0,0.000332693000003,851,23
20,0,850,18.0,0.000335873000003,861,24
20,0,860,18.0,0.000339353000003,871,25
20,0,870,18.0,0.000342630000003,881,26
20,0,880,18.0,0.000345900000003,891,27
20,0,890,18.0,0.000349055000003,901,28
20,0,900,18.0,0.000352260000003,911,29
20,0,910,18.0,0.000355546000003,921,30
20,0,920,18.0,0.000358751000003,931,31
20,0,930,18.0,0.000361953000003,941,32
20,0,940,18.0,0.000365130000003,951,33
20,0,950,18.0,0.000368292000003,961,34
20,0,960,18.0,0.000371424000003,971,35
20,0,970,18.0,0.000374427000002,981,36
20,0,980,18.0,0.000379459000002,991,37
20,0,990,18.0,0.000383456000002,1001,38
20,0,1000,18.0,0.000389567000003,1011,39
20,0,1010,18.0,0.000393078000002,1021,40
20,0,1020,18.0,0.000396328000002,1031,41
20,0,1030,18.0,0.000399504000002,1041,42
20,0,1040,18.0,0.000402696000002,1051,43
20,0,1050,18.0,0.000405797000002,1061,44
20,0,1060,18.0,0.000411720000002,1071,45
20,0,1070,19.0,0.000415230000002,1081,46
20,0,1080,19.0,0.000418828000002,1091,0
20,0,1090,19.0,0.000421871000002,1101,1
20,0,1100,19.0,0.000427330000003,1111,2
20,0,1110,19.0,0.000430394000002,1121,3
20,0,1120,19.0,0.000433510000002,1131,4
20,0,1130,19.0,0.000436646000002,1141,5
20,0,1140,19.0,0.000439799000001,1151,6
20,0,1150,19.0,0.000443011000002,1161,7
20,0,1160,19.0,0.000446537000002,1171,8
20,0,1170,19.0,0.000449742000002,1181,9
20,0,1180,19.0,0.000453396000003,1191,10
20,0,1190,19.0,0.000456481000003,1201,11
20,0,1200,19.0,0.000460263000003,1211,12
20,0,1210,19.0,0.000463332000003,1221,13
20,0,1220,19.0,0.000466483000004,1231,14
20,0,1230,19.0,0.000469611000004,1241,15
20,0,1240,19.0,0.000472564000003,1251,16
20,0,1250,19.0,0.000475894000004,1261,17
20,0,1260,19.0,0.000479086000004,1271,18
20,0,1270,19.0,0.000482321000004,1281,19
20,0,1280,19.0,0.000485446000004,1291,20
20,0,1290,19.0,0.000488601000004,1301,21
20,0,1300,19.0,0.000491705000004,1311,22
20,0,1310,19.0,0.000496546000004,1321,23
20,0,1320,19.0,0.000500210000005,1331,24
20,0,1330,19.0,0.000503761000005,1341,25
20,0,1340,19.0,0.000506872000006,1351,26
20,0,1350,19.0,0.000510224000006,1361,27
20,0,1360,19.0,0.000513507000006,1371,28
20,0,1370,19.0,0.000519800000006,1381,29
20,0,1380,19.0,0.000522948000006,1391,30
20,0,1390,19.0,0.000528453000006,1401,31
20,0,1400,19.0,0.000531458000006,1411,32
20,0,1410,19.0,0.000534411000006,1421,33
20,0,1420,19.0,0.000537497000005,1431,34
20,0,1430,19.0,0.000540719000004,1441,35
20,0,1440,19.0,0.000543831000004,1451,36
20,0,1450,19.0,0.000546999000004,1461,37
20,0,1460,19.0,0.000550051000004,1471,38
20,0,1470,19.0,0.000553099000004,1481,39
20,0,1480,19.0,0.000556005000004,1491,40
20,0,1490,19.0,0.000559054000004,1501,41
20,0,1500,19.0,0.000562133000003,1511,42
20,0,1510,19.0,0.000565131000003,1521,43
20,0,1520,19.0,0.000568256000003,1531,44
20,0,1530,19.0,0.000571431000003,1541,45
20,0,1540,19.0,0.000574479000003,1551,46
20,0,1550,19.0,0.000577556000002,1561,47
20,0,1560,19.0,0.000580551000002,1571,48
20,0,1570,19.0,0.000583702000002,1581,49
20,0,1580,19.0,0.000586635000002,1591,50
20,0,1590,19.0,0.000589474000002,1601,51
20,0,1600,19.0,0.000592787000001,1611,52
20,0,1610,19.0,0.000597083000001,1621,53
20,0,1620,19.0,0.000600449000002,1631,54
20,0,1630,19.0,0.000603768000002,1641,55
20,0,1640,19.0,0.000606807000002,1651,56
20,0,1650,19.0,0.000611707000002,1661,57
20,0,1660,19.0,0.000615270000002,1671,58
20,0,1670,19.0,0.000618720000002,1681,59
20,0,1680,19.0,0.000621815000002,1691,60
20,0,1690,19.0,0.000624858000003,1701,61
20,0,1700,19.0,0.000627879000002,1711,62
20,0,1710,19.0,0.000630865000002,1721,63
20,0,1720,19.0,0.000633855000002,1731,64
20,0,1730,19.0,0.000636635000002,1741,65
20,0,1740,19.0,0.000641413000002,1751,66
20,0,1750,19.0,0.000645174000002,1761,67
20,0,1760,19.0,0.000648560000002,1771,68
20,0,1770,19.0,0.000651800000002,1781,69
20,0,1780,19.0,0.000655128000002,1791,70
20,0,1790,19.0,0.000658393000002,1801,71
