iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.416833333333,0.1,0.4255,0.166333333333,0.8,0.149,0.302986824
10,0.0631554752943,0.219999516757,0.100782966788,0.873666666667,0.56,0.798,2.814509292
20,0.026256774506,0.229973994657,0.095999964721,0.947333333333,0.54,0.808,5.31285756
30,0.00842682629145,0.24,0.0869985830025,0.983,0.52,0.826,7.852659221
40,0.00436258590742,0.239834084884,0.0814729917823,0.991,0.52,0.837,10.343887709
50,0.00339923415334,0.244,0.0789998616405,0.993,0.512,0.842,13.133459385
60,0.001166661314,0.239999999979,0.078496940619,0.997666666667,0.52,0.843,16.096025264
70,0.00066590065716,0.236,0.076026978628,0.998666666667,0.528,0.847,18.911021527
80,0.000166887246077,0.238,0.0750301562359,0.999666666667,0.524,0.85,21.731551893
90,0.00100280842043,0.242,0.0769948852228,0.998,0.516,0.846,24.666647623
100,0.000213347401404,0.238,0.0749199763599,0.999333333333,0.524,0.85,27.463924514
110,0.000549758551176,0.240000000078,0.0750348892685,0.998666666667,0.52,0.85,30.315656331
120,0.000688399594113,0.242,0.0764968856287,0.998666666667,0.516,0.847,33.087324653
130,0.000591729500039,0.243842035711,0.077135239588,0.998666666667,0.512,0.845,35.829742196
140,0.000213186603675,0.242,0.076999999999,0.999333333333,0.516,0.846,38.672445692
150,0.000436150587183,0.242,0.0774900875909,0.999,0.516,0.845,41.471358807
160,4.14404674813e-17,0.242,0.0779951081845,1.0,0.516,0.844,44.278188071
170,0.000166666666667,0.246,0.0779999936363,0.999666666667,0.508,0.844,47.071534377
180,0.000332860545819,0.245844668798,0.0770002420912,0.999333333333,0.508,0.846,49.855407073
190,0.000499999936919,0.247999999995,0.0784999994593,0.999,0.504,0.843,52.860787136
200,0.000166680242447,0.247319403117,0.0789999999997,0.999666666667,0.504,0.842,55.776443693
210,6.00165967018e-17,0.246,0.0789999999993,1.0,0.508,0.842,58.759626734
220,3.44810934539e-09,0.246,0.0789999999812,1.0,0.508,0.842,61.589351735
230,0.000175326673282,0.248,0.0789739548025,0.999666666667,0.504,0.842,64.410796866
240,0.000166666616601,0.25,0.0789904629198,0.999666666667,0.5,0.842,67.248586678
250,0.000666666956895,0.25,0.0790001196823,0.998666666667,0.5,0.842,70.137970867
260,0.000500000001204,0.25,0.0799995079686,0.999,0.5,0.84,73.089468598
270,0.000673017778239,0.252,0.080996576314,0.998666666667,0.496,0.838,75.972330703
280,0.00100966076793,0.252,0.0813747140991,0.998,0.496,0.836,78.852344856
290,0.000973434192062,0.253315676832,0.0814652546921,0.998,0.492,0.837,81.706299625
300,0.001555587249,0.252000208765,0.0809264565027,0.996666666667,0.496,0.838,84.581132403
310,0.000391435398548,0.252,0.0814491133866,0.999,0.496,0.837,87.462741837
320,1.72987647209e-09,0.252,0.0815214487639,1.0,0.496,0.837,90.433297021
330,0.000509844303307,0.255999999996,0.0799994955814,0.999,0.488,0.84,93.333598644
340,0.00083333312816,0.258,0.0809991762733,0.998333333333,0.484,0.838,96.178639919
350,0.000212664614208,0.258,0.0809999039332,0.999666666667,0.484,0.838,99.121329287
360,0.000166666666632,0.258,0.0810124674795,0.999666666667,0.484,0.838,101.936292109
370,0.000331503412692,0.258,0.0809681245557,0.999333333333,0.484,0.838,104.759144925
380,0.0005,0.256,0.0809327679659,0.999,0.488,0.838,107.557589959
390,0.000166666666667,0.256,0.0804987007976,0.999666666667,0.488,0.839,110.365975806
400,0.000166666669879,0.254,0.0805008780951,0.999666666667,0.492,0.839,113.180044225
410,0.0005,0.252,0.0795000686102,0.999,0.496,0.841,116.020602114
420,1.42283362301e-14,0.251999999999,0.0789613808249,1.0,0.496,0.842,118.828857693
430,0.000332732163535,0.249999999975,0.0795001189437,0.999333333333,0.5,0.841,121.663443358
440,0.000499933118694,0.249997702226,0.0800000316653,0.999,0.5,0.84,124.665146116
450,0.000697669131006,0.25199999978,0.0809097114072,0.998333333333,0.496,0.838,127.504072263
460,0.000166666998395,0.249999999869,0.0804645030933,0.999666666667,0.5,0.839,130.379605833
470,0.000666666666663,0.247999999995,0.0804388566984,0.998666666667,0.504,0.839,133.411783345
480,0.000168766847928,0.248,0.0799768946506,0.999666666667,0.504,0.84,136.443297987
490,2.27650447304e-24,0.248,0.0809902502669,1.0,0.504,0.838,139.599692486
500,7.33668816755e-26,0.25,0.0809973802413,1.0,0.5,0.838,142.76392224
510,8.08011602616e-27,0.25,0.0804984388826,1.0,0.5,0.839,146.317800657
520,0.000166666666652,0.25,0.0804992624812,0.999666666667,0.5,0.839,149.302391412
530,1.27682211878e-15,0.252,0.0809999622843,1.0,0.496,0.838,152.376164177
540,0.000166663399583,0.256,0.0809999999891,0.999666666667,0.488,0.838,155.633704291
550,5.09469074735e-05,0.258,0.0809999999746,0.999666666667,0.484,0.838,158.535111607
560,0.000166666666852,0.26,0.0809999882579,0.999666666667,0.48,0.838,161.399360334
570,0.000333333335739,0.256,0.0813483291846,0.999333333333,0.488,0.837,164.286485596
580,0.000166666701008,0.257925813858,0.0814988163766,0.999666666667,0.484,0.837,167.269496025
590,0.000666660615465,0.256,0.0814961952305,0.998666666667,0.488,0.837,170.150616571
600,0.000333333333331,0.255999988787,0.0818870868116,0.999333333333,0.488,0.836,173.003919045
610,0.000333333321866,0.253999999999,0.0819277595268,0.999333333333,0.492,0.836,175.858524626
620,0.000333333394551,0.255999999971,0.0829603790879,0.999333333333,0.488,0.834,178.892788818
630,0.000166675501207,0.253999999327,0.082507390323,0.999666666667,0.492,0.835,181.838947397
640,0.000333333373612,0.253999266663,0.0827309541619,0.999333333333,0.492,0.834,185.326725797
650,0.000347309303921,0.251999766967,0.0819998773036,0.999333333333,0.496,0.836,188.458955731
660,0.00033299194491,0.25070743684,0.0824554289218,0.999333333333,0.496,0.835,191.291791858
670,0.000166666666681,0.251993970892,0.0814971816165,0.999666666667,0.496,0.837,194.177409086
680,2.17147007517e-13,0.251999999347,0.0814885285191,1.0,0.496,0.837,197.299619607
690,2.73056146637e-14,0.245999993237,0.0810082952208,1.0,0.508,0.838,200.26655925
