iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0831745421071,0.398757090842,0.0745363564317,0.833666666667,0.2,0.851,0.461808447
10,0.0830704673448,0.400001919602,0.0747315660073,0.833666666667,0.2,0.851,5.629577005
20,0.0830951811768,0.399993787973,0.0747007311079,0.833666666667,0.2,0.851,10.882077091
30,0.0827829593112,0.399999986852,0.0745647114428,0.833666666667,0.2,0.851,16.081664087
40,0.0830272258116,0.399884048854,0.0747950341448,0.834,0.2,0.851,21.253554316
50,0.0827321353938,0.399999984687,0.0745498937356,0.833666666667,0.2,0.851,26.45843357
60,0.083027946911,0.400197086827,0.0747105270101,0.833666666667,0.2,0.851,31.422341559
70,0.0829273469465,0.399981698922,0.0745025871475,0.833666666667,0.2,0.851,36.421326429
80,0.0829427128039,0.398971259446,0.0746208687073,0.833666666667,0.2,0.851,42.019220586
90,0.0829075182669,0.399999999999,0.0745627480463,0.833666666667,0.2,0.851,47.510946817
100,0.0829371360542,0.399166330195,0.0745063100848,0.833666666667,0.2,0.851,53.191016261
110,0.0830544090991,0.399239136073,0.0746350540031,0.833666666667,0.2,0.851,58.67620998
120,0.0831004153403,0.399999999998,0.0745395196282,0.833666666667,0.2,0.851,63.926426072
130,0.0829856735845,0.400007657203,0.0745424059626,0.833666666667,0.2,0.851,69.480488875
140,0.0830626019404,0.400000017535,0.0745649717516,0.833666666667,0.2,0.851,74.547667856
150,0.0831537396931,0.399999980399,0.0745157322216,0.833666666667,0.2,0.851,79.866953247
160,0.0831313749025,0.399999986864,0.0746062112658,0.833666666667,0.2,0.851,85.016088139
170,0.083133461014,0.399123204908,0.0745011650357,0.833666666667,0.2,0.851,90.478519699
180,0.0831840721929,0.399991594841,0.0745016152285,0.833666666667,0.2,0.851,96.221857004
190,0.083107182281,0.4,0.0745338563463,0.833666666667,0.2,0.851,102.035726243
200,0.0831110777102,0.4,0.0745332512298,0.833666666667,0.2,0.851,107.611154896
210,0.0831327344092,0.4,0.0745078284268,0.833666666667,0.2,0.851,113.184969815
220,0.0831279210681,0.399999999994,0.0745010989292,0.833666666667,0.2,0.851,118.387163292
230,0.0831038110816,0.4,0.074500063082,0.833666666667,0.2,0.851,123.754036791
240,0.0831045797984,0.399131326947,0.0745031651482,0.833666666667,0.2,0.851,129.098057825
250,0.083103219463,0.4,0.0745002365745,0.833666666667,0.2,0.851,134.365831339
260,0.0830662649841,0.4,0.0745055253444,0.833666666667,0.2,0.851,139.759145312
270,0.0830341440041,0.399131326947,0.0745073844974,0.833666666667,0.2,0.851,144.82854367
280,0.0830344580519,0.399999999519,0.0745002012212,0.833666666667,0.2,0.851,149.526340631
290,0.083032440236,0.4,0.0745000635086,0.833666666667,0.2,0.851,154.112552767
300,0.0830326850653,0.4,0.0745308950903,0.833666666667,0.2,0.851,158.68473137
310,0.083032290052,0.4,0.0745041549311,0.833666666667,0.2,0.851,163.153494048
320,0.0830553476983,0.4,0.0745002470541,0.833666666667,0.2,0.851,167.669642171
330,0.0830353470755,0.4,0.0745293149783,0.833666666667,0.2,0.851,172.408647284
340,0.0830349656799,0.4,0.0745001840635,0.833666666667,0.2,0.851,177.119045244
350,0.0830394225071,0.4,0.0745006841643,0.833666666667,0.2,0.851,182.235618279
360,0.0831136923027,0.4,0.0745000652299,0.833666666667,0.2,0.851,186.989481325
370,0.083106578535,0.4,0.0745008275953,0.833666666667,0.2,0.851,191.945966073
380,0.0830392289596,0.4,0.0745016544739,0.833666666667,0.2,0.851,196.928712609
390,0.0830395781183,0.4,0.0745003326561,0.833666666667,0.2,0.851,201.851634042
400,0.0831248081042,0.4,0.074500313,0.833666666667,0.2,0.851,206.53604041
410,0.0831147730857,0.4,0.0745000987199,0.833666666667,0.2,0.851,211.355094237
420,0.083120162169,0.4,0.0745034254184,0.833666666667,0.2,0.851,215.970742225
430,0.0831094465548,0.4,0.0745008045113,0.833666666667,0.2,0.851,220.427447844
440,0.0830929545422,0.4,0.0745005196294,0.833666666667,0.2,0.851,224.833048832
450,0.0831073710885,0.4,0.0745104522117,0.833666666667,0.2,0.851,229.397230945
460,0.0831235998338,0.4,0.0745000304425,0.833666666667,0.2,0.851,233.892376486
470,0.0831158287821,0.4,0.0745351427906,0.833666666667,0.2,0.851,238.268388839
480,0.0831065489766,0.4,0.0745003772026,0.833666666667,0.2,0.851,242.762038252
490,0.083111019556,0.4,0.0745024590073,0.833666666667,0.2,0.851,247.076588831
500,0.0831178440286,0.4,0.0745005288028,0.833666666667,0.2,0.851,251.523267056
510,0.0831004833857,0.4,0.074519970332,0.833666666667,0.2,0.851,257.159521242
520,0.0831004850712,0.4,0.0745199703307,0.833666666667,0.2,0.851,261.703610826
530,0.0830561853609,0.4,0.0745009611185,0.833666666667,0.2,0.851,266.204450202
540,0.0830467883063,0.4,0.0745043297338,0.833666666667,0.2,0.851,270.769739269
550,0.0830493549349,0.4,0.0745005964823,0.833666666667,0.2,0.851,275.333263033
560,0.0831212994329,0.4,0.0745000063342,0.833666666667,0.2,0.851,280.193771867
570,0.0830943305699,0.4,0.0745624138607,0.833666666667,0.2,0.851,284.963591277
580,0.0831569562097,0.4,0.0745072968689,0.833666666667,0.2,0.851,289.662180509
590,0.083127230522,0.4,0.0745366591135,0.833666666667,0.2,0.851,294.195642097
600,0.0831294247791,0.4,0.0745554418188,0.833666666667,0.2,0.851,299.100916996
610,0.0831346520838,0.4,0.0745080740786,0.833666666667,0.2,0.851,303.678506232
620,0.0831346554327,0.4,0.0745081085996,0.833666666667,0.2,0.851,308.329277051
630,0.0831348796538,0.4,0.0745003009477,0.833666666667,0.2,0.851,313.148512027
640,0.0831303780299,0.4,0.0745003971289,0.833666666667,0.2,0.851,317.858591036
650,0.083077915415,0.4,0.0745065015149,0.833666666667,0.2,0.851,322.665989353
660,0.0831251203292,0.4,0.0745249444949,0.833666666667,0.2,0.851,327.350873198
670,0.0830731407457,0.4,0.0745259312519,0.833666666667,0.2,0.851,332.236594198
680,0.0830807311081,0.4,0.074522028639,0.833666666667,0.2,0.851,336.877696263
690,0.0830738564514,0.4,0.0745325179041,0.833666666667,0.2,0.851,341.35642126
700,0.0830816613295,0.4,0.074519612974,0.833666666667,0.2,0.851,345.942121524
710,0.0830265203324,0.399999999998,0.0745005731055,0.833666666667,0.2,0.851,350.483238811
720,0.0830828795386,0.4,0.0745002351095,0.833666666667,0.2,0.851,354.875129866
730,0.0830334149777,0.4,0.0745004781492,0.833666666667,0.2,0.851,359.430516079
740,0.0830838605701,0.4,0.0745057839853,0.833666666667,0.2,0.851,364.011936182
750,0.0830735630754,0.4,0.074517609163,0.833666666667,0.2,0.851,368.7431611
760,0.0829393809439,0.4,0.0745336447496,0.833666666667,0.2,0.851,373.407726319
770,0.0829393809439,0.4,0.0745336447496,0.833666666667,0.2,0.851,378.154542006
780,0.0829960863256,0.4,0.0745321801505,0.833666666667,0.2,0.851,382.840699182
790,0.0830861623991,0.4,0.074525238194,0.833666666667,0.2,0.851,387.64628436
800,0.0830415095425,0.400094781971,0.0745736460346,0.833666666667,0.2,0.851,392.23499076
810,0.0830739901663,0.4,0.0745373408289,0.833666666667,0.2,0.851,396.817446463
820,0.0831139495616,0.4,0.0745785132951,0.833666666667,0.2,0.851,401.691517831
830,0.083116772193,0.399152521138,0.0745580860324,0.833666666667,0.2,0.851,406.434688038
