N,trial,iterations,fitness,time,fevals
10,0,0,0.246605946222,7.0498e-05,11,0
10,0,10,0.335119182262,0.000108336,21,0
10,0,20,0.357797745864,0.000137855,31,0
10,0,30,0.357797745864,0.000173739,41,0
10,0,40,0.460959595558,0.000204046,51,1
10,0,50,0.460959595558,0.000235598,61,0
10,0,60,0.460959595558,0.000273455,71,1
10,0,70,0.460959595558,0.000305631,81,2
10,0,80,0.460959595558,0.0003382,91,3
10,0,90,0.461331056222,0.000379538,101,4
10,0,100,0.461331056222,0.000412954,111,0
10,0,110,0.461331056222,0.000448442,121,1
10,0,120,0.461331056222,0.00048639,131,2
10,0,130,0.461331056222,0.000518837,141,3
10,0,140,0.461331056222,0.000546129,151,4
10,0,150,0.461331056222,0.000580125,161,5
10,0,160,0.461331056222,0.000621612,171,6
10,0,170,0.461331056222,0.00065849,181,7
10,0,180,0.461331056222,0.000689842,191,8
10,0,190,0.461331056222,0.000724453,201,9
10,0,200,0.461331056222,0.000746782,211,10
10,0,210,0.461331056222,0.000773058,221,11
10,0,220,0.461331056222,0.00080716,231,12
10,0,230,0.461331056222,0.000837678,241,13
10,0,240,0.461331056222,0.000889364,251,14
10,0,250,0.461331056222,0.000952809,261,15
10,0,260,0.461331056222,0.00098313,271,16
10,0,270,0.461331056222,0.001037448,281,17
10,0,280,0.461331056222,0.001060001,291,18
10,0,290,0.461331056222,0.001085142,301,19
10,0,300,0.461331056222,0.001105858,311,20
10,0,310,0.461331056222,0.001131197,321,21
10,0,320,0.461331056222,0.001154434,331,22
10,0,330,0.461331056222,0.001184262,341,23
10,0,340,0.461331056222,0.001207194,351,24
10,0,350,0.461331056222,0.001230613,361,25
10,0,360,0.461331056222,0.001261671,371,26
10,0,370,0.461331056222,0.001284192,381,27
10,0,380,0.461331056222,0.001306604,391,28
10,0,390,0.461331056222,0.001338781,401,29
10,0,400,0.461331056222,0.001366199,411,30
10,0,410,0.461331056222,0.00139424,421,31
10,0,420,0.461331056222,0.001416286,431,32
10,0,430,0.461331056222,0.001438789,441,33
10,0,440,0.461331056222,0.001468696,451,34
10,0,450,0.461331056222,0.001494228,461,35
10,0,460,0.461331056222,0.001516912,471,36
10,0,470,0.461331056222,0.001584366,481,37
10,0,480,0.461331056222,0.00160847,491,38
10,0,490,0.461331056222,0.001624063,501,39
10,0,500,0.461331056222,0.001642296,511,40
10,0,510,0.461331056222,0.00165709,521,41
10,0,520,0.461331056222,0.00167153,531,42
10,0,530,0.461331056222,0.001689078,541,43
10,0,540,0.461331056222,0.00170362,551,44
10,0,550,0.461331056222,0.001721134,561,45
10,0,560,0.461331056222,0.00173869,571,46
10,0,570,0.461331056222,0.001755337,581,47
10,0,580,0.461331056222,0.001775521,591,48
10,0,590,0.461331056222,0.001790324,601,49
10,0,600,0.461331056222,0.001812706,611,50
10,0,610,0.461331056222,0.001836061,621,51
10,0,620,0.461331056222,0.001852365,631,52
10,0,630,0.461331056222,0.001905363,641,53
10,0,640,0.461331056222,0.001946591,651,54
10,0,650,0.461331056222,0.001962697,661,55
10,0,660,0.461331056222,0.001988104,671,56
10,0,670,0.461331056222,0.002015545,681,57
10,0,680,0.461331056222,0.002034619,691,58
10,0,690,0.461331056222,0.002050647,701,59
10,0,700,0.461331056222,0.0020705,711,60
10,0,710,0.461331056222,0.002087209,721,61
10,0,720,0.461331056222,0.002102745,731,62
10,0,730,0.461331056222,0.002124608,741,63
10,0,740,0.461331056222,0.002139877,751,64
10,0,750,0.461331056222,0.002155854,761,65
10,0,760,0.461331056222,0.002182667,771,66
10,0,770,0.461331056222,0.002249457,781,67
10,0,780,0.461331056222,0.002300871,791,68
10,0,790,0.461331056222,0.002322013,801,69
10,0,800,0.461331056222,0.002337225,811,70
10,0,810,0.461331056222,0.002356775,821,71
10,0,820,0.461331056222,0.002393283,831,72
10,0,830,0.461331056222,0.002410033,841,73
10,0,840,0.461331056222,0.002429018,851,74
10,0,850,0.461331056222,0.002451673,861,75
10,0,860,0.461331056222,0.00247043,871,76
10,0,870,0.461331056222,0.002492707,881,77
10,0,880,0.461331056222,0.002511564,891,78
10,0,890,0.461331056222,0.002569507,901,79
10,0,900,0.461331056222,0.00258428,911,80
10,0,910,0.461331056222,0.00259905,921,81
10,0,920,0.461331056222,0.002640407,931,82
10,0,930,0.461331056222,0.00265829,941,83
10,0,940,0.461331056222,0.002691385,951,84
10,0,950,0.461331056222,0.002714597,961,85
10,0,960,0.461331056222,0.002734532,971,86
